Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Champions League ,Viertelfinale,09/04/13,Home,Borussia Dortmund,Málaga CF,3:2,CF,40',1:1,Right-footed shot,Marco Reus
Bundesliga ,29,13/04/13,Away,Borussia Dortmund,SpVgg Greuther Fürth,1:6,CF,80',1:6,Left-footed shot,Jakub Blaszczykowski
Bundesliga ,30,20/04/13,Home,Borussia Dortmund,1.FSV Mainz 05,2:0,CF,87',2:0,Right-footed shot,Lukasz Piszczek
Champions League ,Halbfinale,24/04/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,8',1:0,Right-footed shot,Mario Götze
Champions League ,Halbfinale,24/04/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,50',2:1,Right-footed shot,Marco Reus
Champions League ,Halbfinale,24/04/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,55',3:1,Right-footed shot,Marcel Schmelzer
Champions League ,Halbfinale,24/04/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,67',4:1,Penalty,Not Applicable
Bundesliga ,34,18/05/13,Home,Borussia Dortmund,TSG 1899 Hoffenheim,1:2,CF,6',1:0,Tap-in,Jakub Blaszczykowski
DFB-Pokal ,1.Runde,03/08/13,Away,Borussia Dortmund,SV Wilhelmshaven,0:3,CF,90',0:3,Right-footed shot,Jonas Hofmann
Bundesliga ,1,10/08/13,Away,Borussia Dortmund,FC Augsburg,0:4,CF,86',0:4,Penalty,Not Applicable
Bundesliga ,3,23/08/13,Home,Borussia Dortmund,SV Werder Bremen,1:0,CF,55',1:0,Right-footed shot,Marco Reus
Bundesliga ,5,14/09/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,73',4:2,Right-footed shot,Pierre-Emerick Aubameyang
Bundesliga ,5,14/09/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,81',6:2,Header,Nuri Şahin
Bundesliga ,7,28/09/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,58',3:0,Right-footed shot,Marco Reus
Bundesliga ,7,28/09/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,70',4:0,Left-footed shot,Jonas Hofmann
Champions League ,Gruppenphase,01/10/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,19',1:0,Left-footed shot,Erik Durm
Champions League ,Gruppenphase,01/10/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,80',3:0,Penalty,Not Applicable
Champions League ,Gruppenphase,22/10/13,Away,Borussia Dortmund,Arsenal FC,1:2,CF,82',1:2,Right-footed shot,Kevin Großkreutz
Bundesliga ,11,01/11/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,54',3:1,Right-footed shot,Marco Reus
Bundesliga ,11,01/11/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,56',4:1,Left-footed shot,Henrikh Mkhitaryan
Bundesliga ,11,01/11/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,72',5:1,Right-footed shot,Jakub Blaszczykowski
Bundesliga ,14,30/11/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,78',1:2,Penalty,Not Applicable
Bundesliga ,14,30/11/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,90'+4,1:3,Penalty,Not Applicable
Champions League ,Gruppenphase,11/12/13,Away,Borussia Dortmund,Olympique Marseille,1:2,CF,4',0:1,Left-footed shot,Erik Durm
Bundesliga ,20,08/02/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,26',0:1,Right-footed shot,Marcel Schmelzer
Bundesliga ,20,08/02/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,85',0:5,Right-footed shot,Jonas Hofmann
Bundesliga ,21,15/02/14,Home,Borussia Dortmund,Eintracht Frankfurt,4:0,CF,47',3:0,Penalty,Not Applicable
Champions League ,Achtelfinale,25/02/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,61',1:3,Right-footed shot,Lukasz Piszczek
Champions League ,Achtelfinale,25/02/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,71',2:4,Right-footed shot,Marco Reus
Bundesliga ,23,01/03/14,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,64',2:0,Right-footed shot,Henrikh Mkhitaryan
Bundesliga ,26,22/03/14,Away,Borussia Dortmund,Hannover 96,0:3,CF,52',0:2,Right-footed shot,Henrikh Mkhitaryan
Bundesliga ,29,05/04/14,Home,Borussia Dortmund,VfL Wolfsburg,2:1,CF,51',1:1,Header,Marco Reus
DFB-Pokal ,Halbfinale,15/04/14,Home,Borussia Dortmund,VfL Wolfsburg,2:0,CF,43',2:0,Left-footed shot,Marco Reus
Bundesliga ,31,19/04/14,Home,Borussia Dortmund,1.FSV Mainz 05,4:2,CF,18',2:1,Right-footed shot,Henrikh Mkhitaryan
Bundesliga ,34,10/05/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,41',0:1,Right-footed shot,Mats Hummels
Bundesliga ,34,10/05/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,80',0:3,Direct free kick,Not Applicable
Bundesliga ,2,30/08/14,Away,Bayern Munich,FC Schalke 04,1:1,CF,10',0:1,Right-footed shot,Sebastian Rode
Bundesliga ,5,23/09/14,Home,Bayern Munich,SC Paderborn 07,4:0,CF,14',2:0,Right-footed shot,Philipp Lahm
Bundesliga ,7,04/10/14,Home,Bayern Munich,Hannover 96,4:0,CF,6',1:0,Right-footed shot,Rafinha
Bundesliga ,7,04/10/14,Home,Bayern Munich,Hannover 96,4:0,CF,38',3:0,Right-footed shot,Xherdan Shaqiri
Champions League ,Gruppenphase,21/10/14,Away,Bayern Munich,AS Roma,1:7,CF,25',0:3,Header,Juan Bernat
DFB-Pokal ,2.Runde,29/10/14,Away,Bayern Munich,Hamburger SV,1:3,CF,7',0:1,Right-footed shot,Not Applicable
Bundesliga ,10,01/11/14,Home,Bayern Munich,Borussia Dortmund,2:1,CF,72',1:1,Left-footed shot,Not Applicable
Bundesliga ,12,22/11/14,Home,Bayern Munich,TSG 1899 Hoffenheim,4:0,CF,39',2:0,Header,Arjen Robben
Champions League ,Gruppenphase,25/11/14,Away,Bayern Munich,Manchester City,3:2,CF,45',1:2,Header,Jérôme Boateng
Bundesliga ,15,13/12/14,Away,Bayern Munich,FC Augsburg,0:4,CF,68',0:3,Right-footed shot,Bastian Schweinsteiger
Bundesliga ,21,14/02/15,Home,Bayern Munich,Hamburger SV,8:0,LW,56',6:0,Right-footed shot,Thomas Müller
Bundesliga ,22,21/02/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,24',0:1,Right-footed shot,Arjen Robben
Bundesliga ,22,21/02/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,37',0:2,Right-footed shot,Franck Ribéry
Bundesliga ,23,27/02/15,Home,Bayern Munich,1.FC Köln,4:1,CF,75',4:1,Chest,Arjen Robben
Champions League ,Achtelfinale,11/03/15,Home,Bayern Munich,Shakhtar Donetsk,7:0,CF,75',6:0,Right-footed shot,Bastian Schweinsteiger
Bundesliga ,25,14/03/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,76',0:3,Header,Thomas Müller
Bundesliga ,25,14/03/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,90'+1,0:4,Right-footed shot,Thomas Müller
Bundesliga ,27,04/04/15,Away,Bayern Munich,Borussia Dortmund,0:1,CF,36',0:1,Header,Thomas Müller
Bundesliga ,28,11/04/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,15',1:0,Right-footed shot,Thomas Müller
Bundesliga ,28,11/04/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,66',2:0,Header,Mario Götze
Champions League ,Viertelfinale,21/04/15,Home,Bayern Munich,FC Porto,6:1,CF,27',3:0,Header,Thomas Müller
Champions League ,Viertelfinale,21/04/15,Home,Bayern Munich,FC Porto,6:1,CF,40',5:0,Right-footed shot,Thomas Müller
DFB-Pokal ,Halbfinale,28/04/15,Home,Bayern Munich,Borussia Dortmund,1:3,CF,29',1:0,Right-footed shot,Medhi Benatia
Champions League ,Halbfinale,12/05/15,Home,Bayern Munich,FC Barcelona,3:2,CF,59',2:2,Right-footed shot,Bastian Schweinsteiger
Bundesliga ,34,23/05/15,Home,Bayern Munich,1.FSV Mainz 05,2:0,CF,25',1:0,Penalty,Not Applicable
DFB-Pokal ,1.Runde,09/08/15,Away,Bayern Munich,FC Nöttingen,1:3,CF,26',1:3,Left-footed shot,Not Applicable
Bundesliga ,1,14/08/15,Home,Bayern Munich,Hamburger SV,5:0,CF,53',2:0,Right-footed shot,Not Applicable
Bundesliga ,2,22/08/15,Away,Bayern Munich,TSG 1899 Hoffenheim,1:2,CF,90',1:2,Right-footed shot,Douglas Costa
Bundesliga ,4,12/09/15,Home,Bayern Munich,FC Augsburg,2:1,CF,77',1:1,Tap-in,Thomas Müller
Bundesliga ,6,22/09/15,Home,Bayern Munich,VfL Wolfsburg,5:1,CF,51',1:1,Left-footed shot,Not Applicable
