Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Champions League ,Halbfinale,06/05/15,Home,FC Barcelona,Bayern Munich,3:0,LW,90'+4,3:0,Right-footed shot,Lionel Messi
LaLiga ,36,09/05/15,Home,FC Barcelona,Real Sociedad,2:0,LW,51',1:0,Header,Not Applicable
Champions League ,Halbfinale,12/05/15,Away,FC Barcelona,Bayern Munich,3:2,LW,15',1:1,Left-footed shot,Luis Suárez
Champions League ,Halbfinale,12/05/15,Away,FC Barcelona,Bayern Munich,3:2,LW,29',1:2,Right-footed shot,Luis Suárez
Copa del Rey ,Finale,30/05/15,Away,FC Barcelona,Athletic Bilbao,1:3,LW,37',0:2,Right-footed shot,Luis Suárez
Champions League ,Finale,06/06/15,Away,FC Barcelona,Juventus FC,1:3,LW,90'+7,1:3,Left-footed shot,Pedro
LaLiga ,3,12/09/15,Away,FC Barcelona,Atlético de Madrid,1:2,LW,55',1:1,Direct free kick,Not Applicable
LaLiga ,4,20/09/15,Home,FC Barcelona,Levante UD,4:1,LW,56',2:0,Right-footed shot,Not Applicable
LaLiga ,5,23/09/15,Away,FC Barcelona,Celta de Vigo,4:1,LW,80',3:1,Right-footed shot,Lionel Messi
LaLiga ,7,03/10/15,Away,FC Barcelona,Sevilla FC,2:1,LW,74',2:1,Penalty,Not Applicable
LaLiga ,8,17/10/15,Home,FC Barcelona,Rayo Vallecano,5:2,LW,22',1:1,Penalty,Not Applicable
LaLiga ,8,17/10/15,Home,FC Barcelona,Rayo Vallecano,5:2,LW,32',2:1,Penalty,Not Applicable
LaLiga ,8,17/10/15,Home,FC Barcelona,Rayo Vallecano,5:2,LW,69',3:1,Left-footed shot,Not Applicable
LaLiga ,8,17/10/15,Home,FC Barcelona,Rayo Vallecano,5:2,LW,71',4:1,Left-footed shot,Luis Suárez
LaLiga ,10,31/10/15,Away,FC Barcelona,Getafe CF,0:2,LW,58',0:2,Left-footed shot,Sergi Roberto
Champions League ,Gruppenphase,04/11/15,Home,FC Barcelona,BATE Borisov,3:0,LW,31',1:0,Penalty,Not Applicable
Champions League ,Gruppenphase,04/11/15,Home,FC Barcelona,BATE Borisov,3:0,LW,83',3:0,Right-footed shot,Luis Suárez
LaLiga ,11,08/11/15,Home,FC Barcelona,Villarreal CF,3:0,LW,60',1:0,Left-footed shot,Sergio Busquets
LaLiga ,11,08/11/15,Home,FC Barcelona,Villarreal CF,3:0,LW,85',3:0,Right-footed shot,Luis Suárez
LaLiga ,12,21/11/15,Away,FC Barcelona,Real Madrid,0:4,LW,39',0:2,Left-footed shot,Andrés Iniesta
